epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.98826,1.18582,2.84341,1.44605,0.65996,0.835,0.88777,0.64603,1.39354,1.25885,1.25013,0,0,0
2,6.23311,0.90481,1.94929,1.23133,0.66031,0.84227,0.88806,0.6117,1.41561,1.26466,1.25737,1.07219e-06,1.07219e-06,1.07219e-06
3,6.42826,0.90348,2.11623,1.30485,0.63612,0.83333,0.87417,0.61064,1.45176,1.29108,1.26533,1.90876e-06,1.90876e-06,1.90876e-06
4,6.61152,0.91304,2.41285,1.36604,0.62796,0.83333,0.87427,0.62897,1.48092,1.32113,1.27393,2.50971e-06,2.50971e-06,2.50971e-06
5,6.79383,0.91509,2.61497,1.33184,0.61645,0.83333,0.87451,0.62185,1.49636,1.36504,1.2741,2.87504e-06,2.87504e-06,2.87504e-06
6,7.02292,0.82901,2.03661,1.21217,0.65571,0.83333,0.87834,0.6186,1.50978,1.39498,1.28167,3.00475e-06,3.00475e-06,3.00475e-06
7,7.36906,1.01437,2.1381,1.30836,0.67468,0.75,0.89328,0.62243,1.51423,1.43939,1.28384,2.89884e-06,2.89884e-06,2.89884e-06
8,7.64836,0.71201,1.99134,1.23652,0.64024,0.75,0.89237,0.61853,1.53095,1.48094,1.29889,2.55731e-06,2.55731e-06,2.55731e-06
9,7.9508,0.90518,1.7037,1.3006,0.90368,0.56667,0.83714,0.60085,1.52702,1.52597,1.30679,1.98016e-06,1.98016e-06,1.98016e-06
10,8.2272,0.89664,1.93632,1.27254,0.8919,0.56667,0.79182,0.59991,1.51986,1.53085,1.3098,1.16739e-06,1.16739e-06,1.16739e-06
